Datetime,BBC,Daily Mail,NBC News,The Washington Post,New York Times,The Huffington Post,Fox News,The Guardian,The Wall Street Journal,USA Today,LA Times,India Times,Bloomberg,Yahoo,,,
2016-11-06 22:00:04.767803,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',FBI Completes Review of Clinton Emails: No Criminality Found,FBI won’t recommend charges over Clinton emails,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,"CLINTON CLEARED
BUREAU BUNGLE","FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,Trump's closing arguments: 'We must clean up this corruption',FBI clears Clinton after round-the-clock review of new emails,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Ends Review of New Clinton E-Mails, Says No Crime Committed",,,,
2016-11-06 23:00:04.452527,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',FBI Completes Review of Clinton Emails: No Criminality Found,FBI won’t recommend charges over Clinton emails,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,"CLINTON CLEARED
BUREAU BUNGLE","FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,Trump's closing arguments: 'We must clean up this corruption',FBI clears Clinton after round-the-clock review of new emails,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army",Comey’s Start-And-Stop Clinton Probe Turns Up Heat on FBI,,,,
2016-11-07 00:00:04.129464,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',FBI Completes Review of Clinton Emails: No Criminality Found,FBI won’t recommend charges over Clinton emails,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,"CLINTON CLEARED
BUREAU BUNGLE","FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,"Clinton: 'We can come together to build a stronger, fairer America'",Obama seeks to settle scores with Republicans as he campaigns for Clinton,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army",Comey’s Start-And-Stop Clinton Probe Turns Up Heat on FBI,,,,
2016-11-07 01:00:04.368717,No criminality in Clinton emails - FBI,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,"CLINTON CLEARED
BUREAU BUNGLE","FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",China bans Hong Kong pro-democracy politicians as crisis grows,FBI: No New Evidence in Emails to Charge Clinton,"Clinton: 'We can come together to build a stronger, fairer America'","In final hours, Obama takes off gloves as he campaigns for Clinton","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Absolves Clinton Again, Two Days Ahead of U.S. Election",,,,
2016-11-07 02:00:04.391005,No criminality in Clinton emails - FBI,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",China bans Hong Kong pro-democracy politicians as crisis grows,FBI: No New Evidence in Emails to Charge Clinton,"Following scare at Trump rally, life is different for protester","In final hours, Obama takes off gloves as he campaigns for Clinton","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Absolves Clinton Again, Two Days Ahead of U.S. Election",,,,
2016-11-07 03:00:03.867785,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',"5.0 Quake Causes Damage, Closes Schools in Oklahoma",FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",Crisis as China bans pro-democracy politicians,FBI: No New Evidence in Emails to Charge Clinton,"Following scare at Trump rally, life is different for protester","In final hours, Obama takes off gloves as he campaigns for Clinton","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Absolves Clinton Again, Two Days Ahead of U.S. Election",,,,
2016-11-07 04:00:04.667211,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",Crisis as China bans pro-democracy politicians,FBI: No New Evidence in Emails to Charge Clinton,"Following scare at Trump rally, life is different for protester",FBI clears Clinton in renewed inquiry of private email server,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","Clinton's October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 05:00:04.111341,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",Crisis as China bans pro-democracy politicians,FBI: No New Evidence in Emails to Charge Clinton,"FBI Director: Again, no charges for Clinton in email case",FBI clears Clinton in renewed inquiry of private email server,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","Clinton's October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 06:00:04.416496,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"FBI Director: Again, no charges for Clinton in email case",FBI clears Clinton in renewed inquiry of private email server,"76 Tigers Have Been Killed By Poachers In 2016, The Highest Toll In Past 6 Years","Clinton's October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 07:00:04.139594,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"FBI Director: Again, no charges for Clinton in email case",FBI clears Clinton in renewed inquiry of private email server,"76 Tigers Have Been Killed By Poachers In 2016, The Highest Toll In Past 6 Years","Clinton's October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 08:00:04.508425,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"Janet Reno, first female U.S. attorney general, dies at 78",FBI clears Clinton in renewed inquiry of private email server,"76 Tigers Have Been Killed By Poachers In 2016, The Highest Toll In Past 6 Years","Clinton’s October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 09:00:03.799278,Trump cries foul as FBI clears Clinton,Bedlam at Bedford Prison: Up to 200 prisoners 'with knives and coshes' seen celebrating during riots as jail becomes the second prison in 6 weeks to be overrun amid protests over 'mistreatment',FBI Completes Review of Clinton Emails: No Criminality Found,FBI: Review of Clinton emails finds no grounds for charges,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"Janet Reno, first female U.S. attorney general, dies at 78",FBI clears Clinton in renewed inquiry of private email server,"76 Tigers Have Been Killed By Poachers In 2016, The Highest Toll In Past 6 Years","Clinton’s October Surprise Turns Into November Dud, But Damage Is Done",,,,
2016-11-07 10:00:04.278485,Last push on day before US vote,Christmas for just SIX POUNDS! Savvy shopper reveals how she's done all her festive shopping on a shoestring and is now planning to feed five adults and three children on the big day for FREE,Clinton Maintains Edge over Trump in Election Eve Poll,FBI: Review of Clinton emails finds no grounds for charges,"Many Messages Were Duplicates, Director Tells Congress",PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"Janet Reno, first female U.S. attorney general, dies at 78",FBI clears Clinton in renewed inquiry of private email server,"76 Tigers Have Been Killed By Poachers In 2016, The Highest Toll In Past 6 Years",Clinton Leads Trump in Final Pre-Election Bloomberg Poll,,,,
2016-11-07 11:00:04.296153,Last push on day before US vote,"RAF engineer builds a home in the Australian Bush out of two SHIPPING CONTAINERS for just £36,000 - now he pays no bills and wakes up to baby wallabies in his garden","Gingrich, Giuliani Eyed for Top Jobs if Trump Wins: Sources",Clinton cleared in email probe,Director Says New Trove Doesn’t Alter Closed Investigation,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"Following scare at Trump rally, life changed for protester",FBI clears Clinton in renewed inquiry of private email server,Why A Trump Presidency Will Be Damaging To The US-India Relationship,Clinton Leads Trump in Final Pre-Election Bloomberg Poll,,,,
2016-11-07 12:00:04.108147,Last push on day before US vote,"RAF engineer builds a home in the Australian Bush out of two SHIPPING CONTAINERS for just £36,000 - now he pays no bills and wakes up to baby wallabies in his garden","Gingrich, Giuliani Eyed for Top Jobs if Trump Wins: Sources",Clinton cleared in email probe,Director Says New Trove Doesn’t Alter Closed Investigation,PANIC MODE: TRUMP RAGES AT ‘RIGGED’ FBI,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,New Hillary Clinton emails still do not show criminal wrongdoing,FBI: No New Evidence in Emails to Charge Clinton,"Following scare at Trump rally, life changed for protester","Win or lose on Tuesday, a Democratic battle looms",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Clinton Leads Trump in Final Pre-Election Bloomberg Poll,,,,
2016-11-07 13:00:04.586476,Last push on day before US vote,"RAF engineer builds a home in the Australian Bush out of two SHIPPING CONTAINERS for just £36,000 - now he pays no bills and wakes up to baby wallabies in his garden","Gingrich, Giuliani Eyed for Top Jobs if Trump Wins: Sources",Clinton cleared in email probe,Director Says New Trove Doesn’t Alter Closed Investigation,THE END IS NIGH!,'ETHICS GUIDELINES' IGNORED? WikiLeaks: Clinton donors received special treatment from State Dept.,Trump and Clinton in tight race on final day of campaign,Trump’s Path to the Presidency Is Narrow,Poll roundup: Clinton has the edge one day before election,"Win or lose tomorrow, the Democrats face a serious battle over identity",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter from FBI’s Comey,,,,
2016-11-07 14:00:04.087758,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle","Gingrich, Giuliani Eyed for Top Jobs if Trump Wins: Sources",Clinton cleared in email probe,Director Says New Trove Doesn’t Alter Closed Investigation,"THE END IS NIGH!


TRUMP ON A TWITTER LEASH!",FOX NEWS POLLClinton jumps out to 4-point US lead,Trump and Clinton in tight race on final day of campaign,Trump’s Path to the Presidency Is Narrow,Poll roundup: Clinton has the edge one day before election,"Win or lose tomorrow, the Democrats face a serious identity battle",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter from FBI’s Comey,,,,
2016-11-07 15:00:04.052472,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle","Gingrich, Giuliani Eyed for Top Jobs if Trump Wins: Sources","With email probe put to rest, Clinton and Trump make last-day dash",Director Says New Trove Doesn’t Alter Closed Investigation,"THE END IS NIGH!


TRUMP ON A TWITTER LEASH!",FOX NEWS POLLClinton jumps out to 4-point US lead,Trump and Clinton in tight race on final day of campaign,Seeking Hope From a Dispiriting Campaign,Justice Dept. dispatches 500 staffers to enforce voting rights,"Win or lose tomorrow, the Democrats face a serious identity battle",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter From FBI’s Comey,,,,
2016-11-07 16:00:04.360692,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle",NBC's Final Battleground Map Shows Clinton With a Big Lead,"With email probe put to rest, Clinton and Trump make last-day dash",Director Says New Trove Doesn’t Alter Closed Investigation,LAST CHANCE SHAM: TRUMP TOUTS DUBIOUS 'MAN OF THE YEAR' HONOR,TRUMP'S PATH: Shifting electoral picture opens up for The Donald,Trump and Clinton in tight race on final day of campaign,Seeking Hope From a Dispiriting Campaign,Justice Dept. cuts number of staff it sends to enforce voting rights,"Win or lose tomorrow, the Democrats face a serious identity battle",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter From FBI’s Comey,,,,
2016-11-07 17:00:04.277584,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle",NBC's Final Battleground Map Shows Clinton With a Big Lead,"With email probe put to rest, Clinton and Trump make last-day dash","Clinton, Cleared on New Emails, Keeps Small Lead in Polls",LAST CHANCE SHAM: TRUMP TOUTS DUBIOUS 'MAN OF THE YEAR' HONOR,TRUMP'S PATH: Shifting electoral picture opens up for The Donald,Trump and Clinton in tight race on final day of campaign,Seeking Hope From a Dispiriting Campaign,"'He’s his own man': We did not take Trump's Twitter away, aide says","Win or lose tomorrow, the Democrats face a serious identity battle",Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter From FBI’s Comey,,,,
2016-11-07 18:00:03.834358,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle",NBC's Final Battleground Map Shows Clinton With a Big Lead,"With email probe put to rest, Clinton and Trump make last-day dash","Clinton, Cleared on New Emails, Keeps Small Lead in Polls",LAST CHANCE SHAM: TRUMP TOUTS DUBIOUS 'MAN OF THE YEAR' HONOR,TRUMP'S PATH: Shifting electoral picture opens up for The Donald,Trump and Clinton in tight race on final day of campaign,Early Results to Hint at Election Outcome,2 million people could get a raise after Tuesday,California ballot propositions rake in a record $473 million in campaign cash,Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter From FBI’s Comey,,,,
2016-11-07 19:00:04.680413,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle",NBC's Final Battleground Map Shows Clinton With a Big Lead,"With email probe put to rest, Clinton and Trump dash to finish line","Clinton, Cleared on New Emails, Keeps Small Lead in Polls",QUIT STIRRER: WHAT HAPPENS IF TRUMP WON'T CONCEDE,TRUMP'S PATH: Shifting electoral picture opens up for The Donald,Clinton campaign buoyed by high Latino turnout in election's final hours,Early Results to Hint at Election Outcome,2 million people could get a raise after Tuesday,California ballot propositions rake in a record $473 million in campaign cash,Why A Trump Presidency Will Be Damaging To The US-India Relationship,Markets Are Surging After Letter From FBI’s Comey,,,,
2016-11-07 20:00:04.200539,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle","Clinton, Trump Hit Trail for Frantic Final Day","With email probe put to rest, Clinton and Trump dash to finish line","Clinton, Cleared on New Emails, Keeps Small Lead in Polls",TAX SNAKE,TRUMP'S PATH: Shifting electoral picture opens up for The Donald,Clinton campaign buoyed by high Latino turnout in election's final hours,Early Results to Hint at Election Outcome,Dow surges 371 points as FBI clears Clinton on eve of election,California ballot propositions rake in a record $473 million in campaign cash,Why A Trump Presidency Will Be Damaging To The US-India Relationship,Here's Your Cheat Sheet for How Markets Will React to the Election,,,,
2016-11-07 21:00:04.430339,Trump team tries to ease global concern,"Former helicopter pilot is arrested after spending four years barricaded inside a £500,000 farmhouse he lost in a divorce battle","Clinton, Trump Hit Trail for Frantic Final Day","With email probe put to rest, Clinton and Trump dash to finish line",Clinton Takes Sunny Approach as Trump Has Dark Warnings,TAX SNAKE,"CLOSING ARGUMENTS: Trump vows to 'bring back jobs,' Clinton warns not to vote for 'anger' in dash to finish",Clinton campaign buoyed by high Latino turnout in election's final hours,Early Results to Hint at Election Outcome,How to make sense of what's happening when polls close,California ballot propositions rake in a record $473 million in campaign cash,Why A Trump Presidency Will Be Damaging To The US-India Relationship,Here's Your Cheat Sheet for How Markets Will React to the Election,,,,
